caseid,statefip,famincome,age,sex,empstat,fullpart,act_work,act_social,act_leisure,act_sports,act_pcare,act_educ
2.01E+13,Pennsylvania,"$30,000 to $34,999",63,Female,Employed - at work,Part time,0,582,582,0,495,0
2.01E+13,Georgia,"$60,000 to $74,999",66,Female,Employed - at work,Full time,0,430,430,0,510,0
2.01E+13,Pennsylvania,"$60,000 to $74,999",62,Male,Employed - at work,Full time,437,395,395,0,425,0
2.01E+13,Illinois,"$50,000 to $59,999",67,Female,Employed - at work,Part time,0,265,265,0,695,0
2.01E+13,Georgia,"Less than $5,000",62,Male,Employed - at work,Full time,0,345,465,120,558,0
2.01E+13,Texas,"$75,000 to $99,999",69,Male,Employed - at work,Full time,460,248,248,0,540,0
2.01E+13,Washington,"Less than $5,000",55,Female,Employed - at work,Part time,240,235,235,0,570,0
2.01E+13,Maine,"$25,000 to $29,999",66,Female,Employed - at work,Full time,0,741,741,0,480,0
2.01E+13,Texas,"$50,000 to $59,999",54,Male,Employed - at work,Full time,600,30,180,150,450,0
2.01E+13,North Carolina,"$50,000 to $59,999",66,Male,Employed - at work,Full time,0,210,210,0,545,0
2.01E+13,Indiana,"$50,000 to $59,999",63,Female,Employed - at work,Full time,820,140,140,0,360,0
2.01E+13,Florida,"$150,000 and over",19,Female,Employed - at work,Part time,480,130,130,0,665,90
2.01E+13,West Virginia,"$30,000 to $34,999",75,Male,Employed - at work,Part time,260,470,470,0,440,0
2.01E+13,Missouri,"$50,000 to $59,999",54,Female,Employed - at work,Full time,240,120,120,0,700,0
2.01E+13,Tennessee,"$15,000 to $19,999",60,Female,Employed - absent,Full time,0,580,580,0,760,0
2.01E+13,Michigan,"$60,000 to $74,999",53,Male,Employed - at work,Full time,475,150,150,0,620,0
2.01E+13,Arizona,"$100,000 to $149,999",67,Male,Employed - at work,Full time,4,455,455,0,894,0
2.01E+13,Florida,"$75,000 to $99,999",56,Female,Employed - at work,Full time,742,105,105,0,420,0
2.01E+13,West Virginia,"$100,000 to $149,999",57,Female,Employed - at work,Full time,550,0,0,0,655,0
2.01E+13,New Jersey,"$75,000 to $99,999",59,Female,Employed - at work,Full time,505,255,255,0,500,0
2.01E+13,California,"$50,000 to $59,999",52,Female,Employed - at work,Full time,0,570,570,0,605,0
2.01E+13,New Jersey,"$40,000 to $49,999",71,Male,Employed - at work,Full time,1030,0,0,0,325,0
2.01E+13,Hawaii,"$100,000 to $149,999",62,Female,Employed - at work,Full time,480,15,15,0,540,0
2.01E+13,North Carolina,"$50,000 to $59,999",57,Female,Employed - at work,Full time,0,303,303,0,625,0
2.01E+13,New York,"$30,000 to $34,999",62,Female,Employed - at work,Full time,0,435,435,0,540,0
2.01E+13,California,"$75,000 to $99,999",55,Female,Employed - at work,Full time,456,90,90,0,620,0
2.01E+13,Florida,"$40,000 to $49,999",58,Male,Employed - at work,Full time,430,296,296,0,480,0
2.01E+13,Massachusetts,"$100,000 to $149,999",60,Male,Employed - at work,Full time,720,0,0,0,530,0
2.01E+13,California,"$75,000 to $99,999",62,Female,Employed - absent,Part time,250,230,230,0,555,0
2.01E+13,Arizona,"$20,000 to $24,999",65,Female,Employed - absent,Full time,0,275,275,0,1137,0
2.01E+13,Indiana,"$20,000 to $24,999",50,Female,Employed - at work,Full time,480,135,135,0,535,0
2.01E+13,Louisiana,"$75,000 to $99,999",58,Male,Employed - at work,Full time,470,0,0,0,715,0
2.01E+13,Texas,"$40,000 to $49,999",61,Male,Employed - absent,Full time,0,902,902,0,420,0
2.01E+13,Massachusetts,"$40,000 to $49,999",67,Female,Employed - at work,Full time,0,290,385,95,705,0
2.01E+13,Wisconsin,"$12,500 to $14,999",50,Female,Employed - at work,Full time,590,30,30,0,590,0
2.01E+13,Florida,"$75,000 to $99,999",72,Female,Employed - at work,Part time,0,312,312,0,620,0
2.01E+13,California,"$50,000 to $59,999",57,Female,Employed - at work,Part time,230,30,30,0,505,0
2.01E+13,Florida,"$60,000 to $74,999",60,Male,Employed - at work,Full time,0,755,755,0,585,0
2.01E+13,Texas,"$60,000 to $74,999",66,Female,Employed - at work,Full time,510,0,0,0,900,0
2.01E+13,Michigan,"$35,000 to $39,999",58,Female,Employed - at work,Full time,0,562,562,0,617,0
2.01E+13,Tennessee,"$25,000 to $29,999",52,Male,Employed - at work,Full time,0,331,331,0,510,0
2.01E+13,Missouri,"$25,000 to $29,999",25,Male,Employed - at work,Full time,480,90,90,0,480,310
2.01E+13,New York,"$60,000 to $74,999",55,Female,Employed - at work,Full time,0,280,280,0,660,0
2.01E+13,Texas,"$100,000 to $149,999",58,Male,Employed - at work,Full time,535,330,330,0,473,0
2.01E+13,Alabama,"$40,000 to $49,999",22,Female,Employed - at work,Part time,118,456,456,0,540,0
2.01E+13,New York,"$150,000 and over",56,Male,Employed - at work,Full time,0,260,340,80,630,0
2.01E+13,Indiana,"$40,000 to $49,999",60,Female,Employed - at work,Full time,505,180,180,0,495,0
2.01E+13,South Dakota,"$50,000 to $59,999",66,Male,Employed - at work,Full time,152,423,423,0,542,0
