state,fam_income,race,age,sex,emp,fullpart,work,social,sports,pcare,educ,leisure
Maine,"$100,000 to $149,999",Asian only,47,Male,Employed - at work,Full time,0,495,0,521,0,495
Connecticut,"$40,000 to $49,999",White-Asian,28,Female,Employed - at work,Full time,450,120,0,530,0,120
California,"$150,000 and over",White only,38,Female,Employed - at work,Full time,750,0,0,570,0,0
Virginia,"$50,000 to $59,999",Black only,49,Male,Employed - absent,Full time,0,575,0,510,0,575
Oregon,"$35,000 to $39,999",White only,33,Male,Employed - at work,Full time,495,135,0,540,0,135
Minnesota,"$15,000 to $19,999",White only,24,Female,Employed - absent,Part time,0,814,0,600,0,814
Oregon,"$100,000 to $149,999",White only,48,Male,Employed - at work,Full time,683,223,0,480,0,223
Missouri,"$30,000 to $34,999",White only,41,Female,Employed - at work,Part time,410,70,0,735,0,70
California,"$150,000 and over",White only,48,Female,Employed - at work,Part time,265,220,69,675,0,289
Arkansas,"$50,000 to $59,999",Black only,42,Male,Employed - at work,Full time,455,374,0,470,0,374
Minnesota,"$40,000 to $49,999",Black only,25,Male,Employed - at work,Full time,475,120,0,570,0,120
Nevada,"$100,000 to $149,999",Black only,49,Female,Employed - at work,Full time,555,0,0,600,0,0
Idaho,"$150,000 and over",White only,38,Female,Employed - at work,Full time,515,120,0,520,0,120
New York,"$40,000 to $49,999",White only,28,Male,Employed - at work,Full time,485,205,0,485,0,205
Texas,"$10,000 to $12,499",Black only,35,Female,Employed - at work,Full time,440,60,0,735,0,60
Illinois,"$150,000 and over",White only,39,Male,Employed - at work,Full time,285,370,0,450,0,370
Oregon,"$100,000 to $149,999",White only,24,Male,Employed - at work,Full time,515,140,90,540,0,230
Washington,"$12,500 to $14,999",White-American Indian,23,Female,Employed - at work,Full time,480,215,0,615,0,215
Kansas,"$50,000 to $59,999",White only,49,Female,Employed - at work,Part time,0,530,0,840,0,530
Oklahoma,"$60,000 to $74,999",White only,42,Female,Employed - at work,Full time,525,205,0,625,0,205
Pennsylvania,"$40,000 to $49,999",White only,21,Male,Employed - at work,Full time,245,668,0,300,0,668
Washington,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,270,0,725,0,270
Kentucky,"$30,000 to $34,999",White only,39,Female,Employed - at work,Part time,450,225,0,435,0,225
Arizona,"$40,000 to $49,999",White only,44,Female,Employed - at work,Full time,505,180,0,575,0,180
Kentucky,"$30,000 to $34,999",Black only,22,Male,Employed - at work,Full time,525,210,0,645,0,210
Florida,"$60,000 to $74,999",White only,41,Female,Employed - at work,Full time,0,90,0,740,0,90
California,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,0,120,0,840,0,120
Pennsylvania,"$40,000 to $49,999",White only,22,Female,Employed - at work,Part time,0,840,0,358,0,840
Ohio,"$60,000 to $74,999",Black only,44,Male,Employed - at work,Part time,0,650,0,570,0,650
Georgia,"$7,500 to $9,999",Black only,27,Male,Employed - at work,Full time,285,180,0,840,0,180
Colorado,"$100,000 to $149,999",White only,32,Male,Employed - at work,Full time,676,140,75,435,0,215
California,"$75,000 to $99,999",White only,31,Female,Employed - at work,Full time,720,30,0,505,0,30
Colorado,"$60,000 to $74,999",White only,48,Male,Employed - at work,Full time,0,365,0,840,0,365
Virginia,"$20,000 to $24,999",White only,45,Male,Employed - at work,Full time,0,705,0,720,0,705
Ohio,"$15,000 to $19,999",White only,21,Female,Employed - at work,Full time,544,282,0,410,0,282
Massachusetts,"$60,000 to $74,999",White only,30,Male,Employed - at work,Full time,450,355,0,425,0,355
Georgia,"Less than $5,000",White only,21,Male,Employed - at work,Full time,0,650,0,660,0,650
California,"$150,000 and over",Asian only,43,Male,Employed - at work,Full time,260,180,0,680,0,180
North Carolina,"$15,000 to $19,999",White only,28,Female,Employed - at work,Full time,0,570,0,640,0,570
California,"$150,000 and over",White only,24,Male,Employed - at work,Full time,0,875,0,555,0,875
Texas,"$35,000 to $39,999",White only,27,Female,Employed - at work,Full time,430,189,60,589,0,249
Arkansas,"$20,000 to $24,999",Black only,49,Male,Employed - at work,Part time,345,485,0,560,0,485
Maryland,"$75,000 to $99,999",White only,48,Male,Employed - at work,Part time,504,229,60,443,0,289
Ohio,"$5,000 to $7,499",Black only,45,Male,Employed - at work,Part time,300,165,0,660,0,165
California,"$40,000 to $49,999",Black only,42,Male,Employed - at work,Full time,0,560,0,755,0,560
New Mexico,"$10,000 to $12,499",White only,26,Male,Employed - at work,Part time,0,255,0,585,0,255
Texas,"$10,000 to $12,499",White only,23,Male,Employed - at work,Part time,0,450,90,565,0,540
California,"$150,000 and over",White only,31,Male,Employed - at work,Full time,0,430,0,620,0,430
Michigan,"$50,000 to $59,999",White only,25,Male,Employed - at work,Full time,555,223,0,385,0,223
Texas,"Less than $5,000",Black only,45,Female,Employed - at work,Full time,480,285,0,540,0,285
Wisconsin,"$150,000 and over",White only,46,Male,Employed - at work,Full time,498,260,0,540,0,260
Texas,"$40,000 to $49,999",White only,24,Female,Employed - at work,Full time,0,615,0,690,0,615
Vermont,"$75,000 to $99,999",White only,32,Male,Employed - at work,Full time,0,450,120,690,0,570
Washington,"$150,000 and over",White only,44,Female,Employed - absent,Full time,0,165,0,465,0,165
Massachusetts,"$100,000 to $149,999",White only,33,Female,Employed - at work,Full time,510,45,45,570,0,90
Ohio,"$60,000 to $74,999",White only,34,Female,Employed - at work,Full time,15,185,60,650,0,245
Arkansas,"$60,000 to $74,999",White only,33,Female,Employed - at work,Full time,470,140,0,475,0,140
Virginia,"$100,000 to $149,999",White only,43,Female,Employed - at work,Full time,765,120,0,415,0,120
South Carolina,"$75,000 to $99,999",Black only,44,Female,Employed - at work,Part time,500,386,0,420,0,386
Minnesota,"$50,000 to $59,999",White only,29,Male,Employed - at work,Full time,0,540,0,720,0,540
Wisconsin,"$50,000 to $59,999",White only,28,Male,Employed - at work,Full time,560,89,0,588,0,89
California,"$7,500 to $9,999",White only,20,Female,Employed - at work,Part time,0,601,0,600,0,601
Missouri,"$50,000 to $59,999",White only,48,Female,Employed - at work,Full time,490,120,0,545,0,120
Nevada,"$60,000 to $74,999",White only,26,Female,Employed - at work,Part time,810,70,40,330,0,110
Washington,"$150,000 and over",White only,49,Female,Employed - at work,Full time,540,45,105,595,0,150
Florida,"$20,000 to $24,999",White only,46,Female,Employed - at work,Full time,0,250,0,745,0,250
Georgia,"$50,000 to $59,999",Black only,44,Male,Employed - at work,Part time,0,250,60,735,0,310
Indiana,"$30,000 to $34,999",White only,27,Male,Employed - at work,Full time,445,330,0,468,0,330
Indiana,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,0,375,0,540,0,375
Oregon,"$15,000 to $19,999",White only,41,Male,Employed - at work,Part time,0,540,0,780,0,540
