current,next,count
0,0,0
0,1,423
0,2,167
0,3,2
0,4,8
0,5,204
0,6,59
0,7,132
0,8,8
0,9,19
1,0,260
1,1,1
1,2,170
1,3,4
1,4,30
1,5,243
1,6,67
1,7,297
1,8,12
1,9,41
2,0,53
2,1,161
2,2,34
2,3,45
2,4,240
2,5,370
2,6,88
2,7,693
2,8,5
2,9,54
3,0,9
3,1,12
3,2,25
3,3,0
3,4,2
3,5,6
3,6,5
3,7,41
3,8,0
3,9,7
4,0,14
4,1,32
4,2,279
4,3,0
4,4,0
4,5,54
4,6,15
4,7,150
4,8,1
4,9,16
5,0,65
5,1,220
5,2,625
5,3,9
5,4,50
5,5,0
5,6,128
5,7,633
5,8,17
5,9,73
6,0,37
6,1,65
6,2,58
6,3,5
6,4,12
6,5,155
6,6,10
6,7,156
6,8,8
6,9,10
7,0,640
7,1,358
7,2,291
7,3,42
7,4,209
7,5,478
7,6,124
7,7,71
7,8,9
7,9,90
8,0,10
8,1,12
8,2,7
8,3,0
8,4,4
8,5,10
8,6,7
8,7,15
8,8,0
8,9,1
9,0,33
9,1,30
9,2,25
9,3,3
9,4,23
9,5,52
9,6,7
9,7,78
9,8,4
9,9,5
