"","states","average_work","average_leisure"
"1","Pennsylvania",192.38202247191,341.808988764045
"2","Georgia",284.5,277.296296296296
"3","Illinois",198.044776119403,291.074626865672
"4","Texas",263.216374269006,291.298245614035
"5","Washington",224.236842105263,307.368421052632
"6","Maine",182.117647058824,326.882352941176
"7","North Carolina",247.897058823529,292.176470588235
"8","Indiana",302.863636363636,274.75
"9","Florida",250.389261744966,277.409395973154
"10","West Virginia",250.076923076923,284.692307692308
"11","Missouri",279.641025641026,244.666666666667
"12","Tennessee",282.48275862069,312.689655172414
"13","Michigan",279.661538461538,299.353846153846
"14","Arizona",267.942857142857,254.371428571429
"15","New Jersey",285.576923076923,245.711538461538
"16","California",280.845070422535,258.68544600939
"17","Hawaii",396.875,293.5
"18","New York",232.535433070866,293.708661417323
"19","Massachusetts",183.071428571429,306.785714285714
"20","Louisiana",268,304.657142857143
"21","Wisconsin",357.65625,253.578125
"22","Alabama",232.368421052632,314.947368421053
"23","South Dakota",210.4,270.7
"24","Ohio",208.291139240506,311.860759493671
"25","Oregon",161.074074074074,292.185185185185
"26","Vermont",241.142857142857,342.857142857143
"27","District of Columbia",543,153
"28","Maryland",338.421052631579,254.473684210526
"29","Minnesota",214.811320754717,288.245283018868
"30","Colorado",312.675675675676,253.459459459459
"31","Iowa",279.682926829268,257.658536585366
"32","South Carolina",220.393939393939,291.757575757576
"33","Mississippi",230.363636363636,308.363636363636
"34","Arkansas",240.131578947368,284.210526315789
"35","Kentucky",237.857142857143,296.742857142857
"36","Kansas",229.84375,301.875
"37","Oklahoma",297.608695652174,267.652173913043
"38","Nebraska",255.142857142857,349.214285714286
"39","Virginia",264.6,281.066666666667
"40","Rhode Island",196.363636363636,412.272727272727
"41","Nevada",363.941176470588,253.588235294118
"42","Connecticut",315.791666666667,273.875
"43","Montana",183.625,248
"44","North Dakota",215,397.5
"45","New Mexico",172.5,299.214285714286
"46","Utah",286.333333333333,260.952380952381
"47","Wyoming",202.6,133
"48","New Hampshire",173,435.181818181818
"49","Idaho",240,214.571428571429
"50","Delaware",28.3333333333333,487.666666666667
"51","Alaska",227,373.333333333333
