"","fstates","faverage_work","faverage_leisure","faverage_pcare","faverage_educ"
"1","Connecticut",413.833333333333,222,583.5,0
"2","California",217.828125,295.015625,615.40625,0
"3","Minnesota",180.625,375.375,643.9375,0
"4","Missouri",224.642857142857,242,625.142857142857,0
"5","Nevada",390.833333333333,207.833333333333,524.166666666667,0
"6","Idaho",512.5,120,530,0
"7","Texas",278.068965517241,267.793103448276,620.155172413793,11.551724137931
"8","Washington",275.666666666667,264.2,601.266666666667,0
"9","Kansas",108.75,354.875,712.5,0
"10","Oklahoma",449.166666666667,272.833333333333,560.833333333333,0
"11","Kentucky",373.75,187.5,523.75,0
"12","Arizona",356.285714285714,287.428571428571,546.071428571429,0
"13","Florida",170.333333333333,286.3,658.9,2
"14","Pennsylvania",324.551724137931,269.413793103448,543,7.24137931034483
"15","Ohio",253.363636363636,232.409090909091,646.590909090909,0
"16","North Carolina",153.928571428571,258,693.428571428571,0
"17","Massachusetts",339.461538461538,221,568.153846153846,0
"18","Arkansas",254,273,666.2,0
"19","Virginia",368.388888888889,224.666666666667,555.944444444444,0
"20","South Carolina",250.176470588235,304.352941176471,588.294117647059,0
"21","Indiana",259.230769230769,235,581.538461538462,0
"22","Michigan",185.333333333333,284.733333333333,616.8,24.6666666666667
"23","Louisiana",403,173.571428571429,530.285714285714,0
"24","New York",217.114285714286,313.057142857143,581.114285714286,14.5714285714286
"25","Vermont",341.5,225,567.5,0
"26","Illinois",289.909090909091,242.863636363636,590.318181818182,35.1818181818182
"27","Maryland",382.357142857143,184.642857142857,644.142857142857,0
"28","New Jersey",198.071428571429,295,588,0
"29","District of Columbia",1.66666666666667,576.666666666667,665,0
"30","Tennessee",359.916666666667,194.5,539.416666666667,0
"31","Wisconsin",340,188.428571428571,603.285714285714,0
"32","West Virginia",253.333333333333,217.666666666667,616,0
"33","Utah",358.75,172.5,608.5,0
"34","Oregon",119.5,246.3,634.8,0
"35","Alabama",265,269.111111111111,630.666666666667,0
"36","New Mexico",360,199,559,0
"37","Mississippi",250.8,225,761.6,0
"38","Maine",186.666666666667,263.333333333333,658.333333333333,0
"39","Iowa",390,193.142857142857,529,0
"40","Colorado",229.8125,282.125,548.9375,0
"41","Georgia",220.6,226.3,664.9,40
"42","New Hampshire",266.666666666667,261.666666666667,530,0
"43","Delaware",570,90,540,0
"44","Alaska",0,520,610,0
"45","Hawaii",207.5,177.5,583.5,0
"46","South Dakota",70,431,655,0
"47","Montana",284,259.333333333333,641.666666666667,0
"48","Nebraska",151.25,370.5,658.75,0
"49","North Dakota",0,335,780,0
