caseid,statefip,famincome,age,sex,empstat,fullpart,act_work,act_social,act_sports,act_leisure
2.01401E+13,Pennsylvania,"$30,000 to $34,999",63,Female,Employed - at work,Part time,0,582,0,582
2.01401E+13,Georgia,"$60,000 to $74,999",66,Female,Employed - at work,Full time,0,430,0,430
2.01401E+13,Pennsylvania,"$60,000 to $74,999",62,Male,Employed - at work,Full time,437,395,0,395
2.01401E+13,Illinois,"$50,000 to $59,999",67,Female,Employed - at work,Part time,0,265,0,265
2.01401E+13,Georgia,"Less than $5,000",62,Male,Employed - at work,Full time,0,345,120,465
2.01401E+13,Texas,"$75,000 to $99,999",69,Male,Employed - at work,Full time,460,248,0,248
2.01401E+13,Washington,"Less than $5,000",55,Female,Employed - at work,Part time,240,235,0,235
2.01401E+13,Maine,"$25,000 to $29,999",66,Female,Employed - at work,Full time,0,741,0,741
2.01401E+13,Texas,"$50,000 to $59,999",54,Male,Employed - at work,Full time,600,30,150,180
2.01401E+13,North Carolina,"$50,000 to $59,999",66,Male,Employed - at work,Full time,0,210,0,210
2.01401E+13,Indiana,"$50,000 to $59,999",63,Female,Employed - at work,Full time,820,140,0,140
2.01401E+13,Florida,"$150,000 and over",19,Female,Employed - at work,Part time,480,130,0,130
2.01401E+13,West Virginia,"$30,000 to $34,999",75,Male,Employed - at work,Part time,260,470,0,470
2.01401E+13,Missouri,"$50,000 to $59,999",54,Female,Employed - at work,Full time,240,120,0,120
2.01401E+13,Tennessee,"$15,000 to $19,999",60,Female,Employed - absent,Full time,0,580,0,580
2.01401E+13,Michigan,"$60,000 to $74,999",53,Male,Employed - at work,Full time,475,150,0,150
2.01401E+13,Arizona,"$100,000 to $149,999",67,Male,Employed - at work,Full time,4,455,0,455
2.01401E+13,Florida,"$75,000 to $99,999",56,Female,Employed - at work,Full time,742,105,0,105
2.01401E+13,West Virginia,"$100,000 to $149,999",57,Female,Employed - at work,Full time,550,0,0,0
2.01401E+13,New Jersey,"$75,000 to $99,999",59,Female,Employed - at work,Full time,505,255,0,255
2.01401E+13,California,"$50,000 to $59,999",52,Female,Employed - at work,Full time,0,570,0,570
2.01401E+13,New Jersey,"$40,000 to $49,999",71,Male,Employed - at work,Full time,1030,0,0,0
2.01401E+13,Hawaii,"$100,000 to $149,999",62,Female,Employed - at work,Full time,480,15,0,15
