caseid,year,statefip,famincome,hh_child,age,sex,race,schlcoll,empstat,fullpart,act_carehh,act_carenhh,act_educ,act_food,act_govserv,act_hhact,act_hhserv,act_pcare,act_phone,act_profserv,act_purch,act_relig,act_social,act_sports,act_travel,act_vol,act_work
20140101140007,2014,"Arizona","Less than $5,000","Yes",20,"Female","White only","Not enrolled","Unemployed - looking","NIU (Not in universe)",30,0,0,30,0,0,0,1205,0,0,0,0,30,90,55,0,0
20140101140011,2014,"Pennsylvania","$40,000 to $49,999","Yes",16,"Female","Black only","High school part time","Employed - at work","Full time",0,0,0,45,0,40,0,600,0,0,0,0,200,0,90,0,465
20140101140028,2014,"Texas","$35,000 to $39,999","Yes",65,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",180,0,0,60,0,300,0,645,0,0,0,0,255,0,0,0,0
20140101140063,2014,"Virginia","Less than $5,000","No",50,"Female","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,0,0,10,0,840,0,0,0,110,460,0,20,0,0
20140101140168,2014,"Arkansas","$7,500 to $9,999","Yes",23,"Female","Black only","Not enrolled","Unemployed - looking","NIU (Not in universe)",175,0,0,65,0,315,0,705,0,0,0,0,120,0,0,0,60
20140101140537,2014,"Maryland","$60,000 to $74,999","No",85,"Male","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,30,0,30,0,240,0,0,0,0,1140,0,0,0,0
20140101140559,2014,"Oklahoma","$40,000 to $49,999","Yes",27,"Male","White only","Not enrolled","Employed - at work","Full time",0,0,0,20,0,0,0,615,0,0,10,0,105,0,45,0,645
20140101140610,2014,"Texas","$75,000 to $99,999","Yes",28,"Male","White only","Not enrolled","Employed - at work","Full time",60,0,0,30,0,15,0,510,0,0,0,0,180,30,60,0,555
20140101140614,2014,"Pennsylvania","$30,000 to $34,999","No",63,"Female","White only","NIU (Not in universe)","Employed - at work","Part time",0,35,0,30,0,166,0,495,13,0,0,0,582,0,49,0,0
20140101140639,2014,"Arizona","$100,000 to $149,999","No",85,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,117,0,61,0,615,0,0,0,0,607,30,10,0,0
20140101140665,2014,"Georgia","$60,000 to $74,999","No",66,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,210,0,80,0,105,0,510,0,0,40,0,430,0,65,0,0
20140101140685,2014,"Rhode Island","$20,000 to $24,999","No",54,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,35,0,15,0,675,0,0,0,0,655,0,60,0,0
20140101140702,2014,"Texas","$10,000 to $12,499","Yes",31,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",120,0,0,0,0,305,0,690,0,0,30,0,265,0,30,0,0
20140101140725,2014,"Maryland","$150,000 and over","Yes",35,"Male","White only","Not enrolled","Employed - at work","Full time",63,0,0,25,0,36,0,616,0,13,4,0,47,0,123,0,513
