"","mstates","maverage_work","maverage_leisure","maverage_pcare","maverage_educ"
"1","Maine",160.6,516.8,553.8,0
"2","Virginia",260.512195121951,311.80487804878,579.012195121951,0
"3","Oregon",285.84,335.72,575.96,0
"4","Arkansas",378.090909090909,326.545454545455,532,0
"5","Minnesota",167.2,426.1,574.7,0
"6","New York",302.5,198.75,575.75,0
"7","Illinois",357,259.246153846154,562.138461538462,1.84615384615385
"8","Pennsylvania",327.785714285714,240.785714285714,550.357142857143,0
"9","Kentucky",350.769230769231,311.307692307692,568.461538461538,0
"10","California",343.9,317.2,555.5,0
"11","Ohio",357.545454545455,312.454545454545,475.181818181818,0
"12","Georgia",248.7,282.1,564.8,0
"13","Colorado",217.783783783784,321.702702702703,594.432432432432,1.62162162162162
"14","Massachusetts",278.411764705882,324.294117647059,555.088235294118,0
"15","Maryland",271.2,424.64,524.44,0
"16","New Mexico",363.611111111111,331.055555555556,504.722222222222,0
"17","Texas",400.692307692308,273,473.076923076923,0
"18","Michigan",461.166666666667,198.5,525.833333333333,0
"19","Wisconsin",353.736842105263,320.368421052632,550.684210526316,9.47368421052632
"20","Vermont",271,411.285714285714,532.142857142857,0
"21","Indiana",322.866666666667,325.733333333333,484.2,0
"22","Florida",299.727272727273,267.863636363636,553.409090909091,0
"23","North Carolina",360.214285714286,260.071428571429,553.571428571429,0
"24","Alabama",309.636363636364,283.5,542.75,0
"25","Nevada",236.5,375,615,0
"26","Montana",332.675,258.625,579.075,4.125
"27","Iowa",432.769230769231,194.153846153846,537.615384615385,1.53846153846154
"28","Tennessee",272.125,294.3125,560.8125,0
"29","New Jersey",297,319.6,598.2,18
"30","Hawaii",313,462.2,438,0
"31","Delaware",325.208333333333,327.291666666667,556.25,0.625
"32","Mississippi",259.285714285714,244.142857142857,534.857142857143,0
"33","Missouri",455,290.2,542.8,0
"34","Oklahoma",406.588235294118,303.235294117647,520.882352941176,0
"35","Kansas",159.615384615385,390.230769230769,582.846153846154,0
"36","Louisiana",198,265.5,600.125,0
"37","West Virginia",230,304.6,649.6,0
"38","Washington",271.333333333333,351.666666666667,498.666666666667,0
"39","Idaho",362.5,231.75,540.75,0
"40","District of Columbia",320.333333333333,250.888888888889,584.555555555556,0
"41","South Carolina",250.2,265.6,613.5,0
"42","Alaska",435,327.5,435,0
"43","Connecticut",118.5,423.5,632.5,0
"44","South Dakota",480,30,545,0
"45","Arizona",10,464.333333333333,526.666666666667,0
"46","Nebraska",126,370,566,0
"47","North Dakota",250.5,323,612.5,0
"48","New Hampshire",405.571428571429,232.571428571429,630.714285714286,0
"49","Utah",0,538.25,575,0
