"state","fam_income","race","age","sex","emp","fullpart","work","travel","household","pcare","leisure","race.new","income.new"
"Pennsylvania","$40,000 to $49,999","Black only",16,"Female","Employed - at work","Full time",465,90,40,600,200,"Black only","$25k-$50k"
"Oklahoma","$40,000 to $49,999","White only",27,"Male","Employed - at work","Full time",645,45,0,615,105,"White only","$25k-$50k"
"Texas","$75,000 to $99,999","White only",28,"Male","Employed - at work","Full time",555,60,15,510,210,"White only","$75k-$100k"
"Maryland","$150,000 and over","White only",35,"Male","Employed - at work","Full time",513,123,36,616,47,"White only","$100k+"
"Michigan","$75,000 to $99,999","White only",41,"Female","Employed - at work","Full time",479,102,0,519,120,"White only","$75k-$100k"
"Louisiana","$75,000 to $99,999","White only",45,"Female","Employed - at work","Full time",646,4,122,478,0,"White only","$75k-$100k"
"Georgia","$75,000 to $99,999","White only",26,"Female","Employed - at work","Full time",444,66,85,475,10,"White only","$75k-$100k"
"Maine","$100,000 to $149,999","Asian only",47,"Male","Employed - at work","Full time",0,170,135,521,495,"Asian only","$100k+"
"Connecticut","$40,000 to $49,999","White-Asian",28,"Female","Employed - at work","Full time",450,68,82,530,120,"Mixed/Other","$25k-$50k"
"Louisiana","$150,000 and over","White only",47,"Female","Employed - at work","Full time",0,0,155,600,520,"White only","$100k+"
"New Jersey","$60,000 to $74,999","White-Black",18,"Female","Employed - at work","Part time",345,21,0,570,369,"Mixed/Other","$50k-$75k"
"California","$150,000 and over","White only",38,"Female","Employed - at work","Full time",750,0,20,570,0,"White only","$100k+"
"Virginia","$50,000 to $59,999","Black only",49,"Male","Employed - absent","Full time",0,85,180,510,575,"Black only","$50k-$75k"
"New York","$75,000 to $99,999","White only",33,"Female","Employed - at work","Part time",220,125,70,510,225,"White only","$75k-$100k"
"Oregon","$35,000 to $39,999","White only",33,"Male","Employed - at work","Full time",495,30,120,540,135,"White only","$25k-$50k"
"Minnesota","$15,000 to $19,999","White only",24,"Female","Employed - absent","Part time",0,0,1,600,814,"White only","Below $25k"
"Oregon","$100,000 to $149,999","White only",48,"Male","Employed - at work","Full time",683,14,0,480,223,"White only","$100k+"
"Indiana","$75,000 to $99,999","White only",49,"Female","Employed - at work","Full time",569,135,55,556,65,"White only","$75k-$100k"
"Minnesota","$100,000 to $149,999","White only",38,"Male","Employed - at work","Full time",0,35,280,645,230,"White only","$100k+"
"Wisconsin","$40,000 to $49,999","White only",41,"Male","Employed - at work","Full time",600,138,50,415,90,"White only","$25k-$50k"
"Virginia","Less than $5,000","Black only",44,"Female","Employed - at work","Part time",300,0,155,765,0,"Black only","Below $25k"
"Arizona","$40,000 to $49,999","White only",47,"Male","Employed - at work","Full time",0,180,135,540,425,"White only","$25k-$50k"
"Texas","$75,000 to $99,999","White only",32,"Female","Employed - at work","Full time",360,74,35,574,145,"White only","$75k-$100k"
"Missouri","$30,000 to $34,999","White only",41,"Female","Employed - at work","Part time",410,100,65,735,70,"White only","$25k-$50k"
"Wisconsin","$75,000 to $99,999","White only",40,"Female","Employed - at work","Part time",392,167,107,450,135,"White only","$75k-$100k"
"Indiana","$60,000 to $74,999","White only",40,"Female","Employed - at work","Full time",495,90,60,505,0,"White only","$50k-$75k"
"California","$150,000 and over","White only",48,"Female","Employed - at work","Part time",265,60,41,675,289,"White only","$100k+"
"Arkansas","$50,000 to $59,999","Black only",42,"Male","Employed - at work","Full time",455,71,21,470,374,"Black only","$50k-$75k"
"Virginia","$50,000 to $59,999","White only",34,"Male","Employed - at work","Full time",90,104,130,813,206,"White only","$50k-$75k"
"Maryland","$100,000 to $149,999","Black only",35,"Female","Employed - at work","Full time",575,165,0,570,120,"Black only","$100k+"
"New Mexico","$75,000 to $99,999","White only",44,"Female","Employed - at work","Full time",0,30,235,750,305,"White only","$75k-$100k"
"California","$30,000 to $34,999","White only",45,"Male","Employed - at work","Part time",0,30,30,765,480,"White only","$25k-$50k"
"Oregon","$60,000 to $74,999","White only",36,"Male","Employed - at work","Full time",473,54,35,410,298,"White only","$50k-$75k"
"Iowa","$60,000 to $74,999","White only",36,"Male","Employed - at work","Full time",0,0,60,660,630,"White only","$50k-$75k"
"Minnesota","$75,000 to $99,999","Asian only",36,"Male","Employed - at work","Full time",525,0,90,480,210,"Asian only","$75k-$100k"
"North Carolina","$15,000 to $19,999","White only",35,"Male","Employed - at work","Full time",525,40,0,620,160,"White only","Below $25k"
"Minnesota","$40,000 to $49,999","Black only",25,"Male","Employed - at work","Full time",475,175,0,570,120,"Black only","$25k-$50k"
"Illinois","$40,000 to $49,999","White only",37,"Female","Employed - at work","Full time",0,0,315,690,360,"White only","$25k-$50k"
"New Jersey","$75,000 to $99,999","White only",47,"Female","Employed - at work","Full time",0,75,445,510,90,"White only","$75k-$100k"
"Michigan","$75,000 to $99,999","White only",49,"Female","Employed - absent","Part time",0,225,185,575,155,"White only","$75k-$100k"
"Texas","$25,000 to $29,999","White only",34,"Male","Employed - at work","Full time",0,0,345,630,400,"White only","$25k-$50k"
"Kansas","$40,000 to $49,999","White only",42,"Male","Employed - at work","Full time",633,29,30,335,393,"White only","$25k-$50k"
"Massachusetts","$100,000 to $149,999","White only",46,"Female","Employed - at work","Full time",439,115,31,510,275,"White only","$100k+"
"Pennsylvania","$40,000 to $49,999","White only",34,"Female","Employed - at work","Part time",300,30,255,525,30,"White only","$25k-$50k"
"California","$75,000 to $99,999","White only",44,"Male","Employed - at work","Full time",0,135,0,510,555,"White only","$75k-$100k"
"Arizona","$100,000 to $149,999","White only",44,"Female","Employed - at work","Full time",660,60,0,525,135,"White only","$100k+"
"Nevada","$100,000 to $149,999","Black only",49,"Female","Employed - at work","Full time",555,45,0,600,0,"Black only","$100k+"
"New Jersey","$100,000 to $149,999","Asian only",37,"Female","Employed - at work","Full time",0,60,350,685,242,"Asian only","$100k+"
"Florida","$20,000 to $24,999","White only",16,"Female","Employed - at work","Part time",465,69,40,655,155,"White only","Below $25k"
"Colorado","$75,000 to $99,999","White only",30,"Male","Employed - at work","Full time",240,66,180,694,60,"White only","$75k-$100k"
"Idaho","$150,000 and over","White only",38,"Female","Employed - at work","Full time",515,120,60,520,120,"White only","$100k+"
