state,fam_income,race,age,sex,emp,fullpart,work,travel,household,pcare,leisure
Pennsylvania,"$40,000 to $49,999",Black only,16,Female,Employed - at work,Full time,465,90,40,600,200
Oklahoma,"$40,000 to $49,999",White only,27,Male,Employed - at work,Full time,645,45,0,615,105
Texas,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,555,60,15,510,210
Maryland,"$150,000 and over",White only,35,Male,Employed - at work,Full time,513,123,36,616,47
Michigan,"$75,000 to $99,999",White only,41,Female,Employed - at work,Full time,479,102,0,519,120
Louisiana,"$75,000 to $99,999",White only,45,Female,Employed - at work,Full time,646,4,122,478,0
Georgia,"$75,000 to $99,999",White only,26,Female,Employed - at work,Full time,444,66,85,475,10
Maine,"$100,000 to $149,999",Asian only,47,Male,Employed - at work,Full time,0,170,135,521,495
Connecticut,"$40,000 to $49,999",White-Asian,28,Female,Employed - at work,Full time,450,68,82,530,120
Louisiana,"$150,000 and over",White only,47,Female,Employed - at work,Full time,0,0,155,600,520
New Jersey,"$60,000 to $74,999",White-Black,18,Female,Employed - at work,Part time,345,21,0,570,369
California,"$150,000 and over",White only,38,Female,Employed - at work,Full time,750,0,20,570,0
Virginia,"$50,000 to $59,999",Black only,49,Male,Employed - absent,Full time,0,85,180,510,575
New York,"$75,000 to $99,999",White only,33,Female,Employed - at work,Part time,220,125,70,510,225
Oregon,"$35,000 to $39,999",White only,33,Male,Employed - at work,Full time,495,30,120,540,135
Minnesota,"$15,000 to $19,999",White only,24,Female,Employed - absent,Part time,0,0,1,600,814
Oregon,"$100,000 to $149,999",White only,48,Male,Employed - at work,Full time,683,14,0,480,223
Indiana,"$75,000 to $99,999",White only,49,Female,Employed - at work,Full time,569,135,55,556,65
Minnesota,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,0,35,280,645,230
Wisconsin,"$40,000 to $49,999",White only,41,Male,Employed - at work,Full time,600,138,50,415,90
Virginia,"Less than $5,000",Black only,44,Female,Employed - at work,Part time,300,0,155,765,0
Arizona,"$40,000 to $49,999",White only,47,Male,Employed - at work,Full time,0,180,135,540,425
Texas,"$75,000 to $99,999",White only,32,Female,Employed - at work,Full time,360,74,35,574,145
Missouri,"$30,000 to $34,999",White only,41,Female,Employed - at work,Part time,410,100,65,735,70
